person_cluster,person_category,same_person_confidence,mentions,poems,counties,distinct_standard_lemmas,distinct_local_lemmas,distinct_word_normalised_forms,standard_lemma_counts,local_lemma_counts,word_normalised_counts,english_gloss_counts,county_counts,poems_with_multiple_standard_lemmas_in_cluster,example_multi_standard_poem_ids,same_person_note
Kuremaa,unmapped_possible_person_name,low,1,1,1,1,1,1,Kuremaa (1),Kuremaa (1),Kuremaa (1),Kuremaa (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurgola,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurgola (1),Kurgola (1),Kurgolaa (1),Kurgola (1),Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurkelan,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurkelan (1),Kurkela+n (1),Kurkelan (1),of Kurkela (1),Varsinais-Suomi (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurkola,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurkola (1),Kurkola (1),Kurkola (1),Kurkola (1),Länsi-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurla,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurla (1),Kurla (1),Kurla (1),Kurla's (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurnekka,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurnekka (1),Kurnekka (1),Kurnekan (1),Kurnekka's (1),Pohjois-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kuro (proper name),unmapped_possible_person_name,low,1,1,1,1,1,1,Kuro (proper name) (1),Kuro (1),Kurosen (1),Kuro's (1),Itä- ja Pohjois-Inkeri (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurp,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurp (1),Kurp (1),Kurpi (1),Kurp (name) (1),Viljandimaa (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurri,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurri (1),Kurri+n (1),Kurrin (1),Kurri's (1),Etelä-Karjala (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
Kurtti,unmapped_possible_person_name,low,1,1,1,1,1,1,Kurtti (1),Kurtin (1),Kurtin (1),Kurtin (1),Häme (1),0,,"Detected as a possible name, but not mapped to a known same-person/name-family cluster."
