person_cluster,variant_casefold_standard_lemma,broad_region,mentions,share_within_group,share_within_variant
Anna / Anne / Ann / Anni,Ann,Ingria,3,0.0013256738842244808,0.006607929515418502
Anna / Anne / Ann / Anni,Ann,East Karelia/Veps/Tver,1,0.0004418912947414936,0.0022026431718061676
Anna / Anne / Ann / Anni,Ann,Other/unclear,15,0.006628369421122404,0.03303964757709251
Anna / Anne / Ann / Anni,Anna,Estonia core/west,21,0.009279717189571365,0.3088235294117647
Anna / Anne / Ann / Anni,Anna,South Estonia/Seto,1,0.0004418912947414936,0.014705882352941176
Anna / Anne / Ann / Anni,Anna,Finland/Savo-Karelia,40,0.017675651789659744,0.5882352941176471
Anna / Anne / Ann / Anni,Anna,Ingria,2,0.0008837825894829872,0.029411764705882353
Anna / Anne / Ann / Anni,Anna,East Karelia/Veps/Tver,4,0.0017675651789659744,0.058823529411764705
Anna / Anne / Ann / Anni,Anna,Other/unclear,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Estonia core/west,27,0.011931064958020326,0.627906976744186
Anna / Anne / Ann / Anni,Anu,South Estonia/Seto,3,0.0013256738842244808,0.06976744186046512
Anna / Anne / Ann / Anni,Anu,Finland/Savo-Karelia,0,0.0,0.0
Anna / Anne / Ann / Anni,Anu,Ingria,8,0.003535130357931949,0.18604651162790697
Anna / Anne / Ann / Anni,Anu,East Karelia/Veps/Tver,4,0.0017675651789659744,0.09302325581395349
Anna / Anne / Ann / Anni,Anu,Other/unclear,1,0.0004418912947414936,0.023255813953488372
Anna / Anne / Ann / Anni,Other,Estonia core/west,61,0.02695536897923111,0.5169491525423728
Anna / Anne / Ann / Anni,Other,South Estonia/Seto,9,0.003977021652673442,0.07627118644067797
Anna / Anne / Ann / Anni,Other,Finland/Savo-Karelia,19,0.008395934600088379,0.16101694915254236
Anna / Anne / Ann / Anni,Other,Ingria,7,0.0030932390631904553,0.059322033898305086
Anna / Anne / Ann / Anni,Other,East Karelia/Veps/Tver,21,0.009279717189571365,0.17796610169491525
Anna / Anne / Ann / Anni,Other,Other/unclear,1,0.0004418912947414936,0.00847457627118644
