county,person_cluster,mentions,poems,distinct_standard_lemmas,distinct_local_lemmas,top_standard_lemmas,top_local_lemmas
Etelä-Karjala,Eetu,4,2,1,2,Eetu (4),Eettose (2); Eeto+se (2)
Etelä-Karjala,Kaapro,4,1,1,3,Kaapro (4),kaapro (2); kaapre (1); kaaprolle (1)
Etelä-Karjala,Laara,4,4,1,1,Laara (4),Laara (4)
Etelä-Karjala,Miittu,4,1,1,1,Miittu (4),Miittu (4)
Etelä-Karjala,Savo,4,2,1,1,Savo (4),Savo (4)
Etelä-Karjala,Tonteri,4,3,1,1,Tonteri (4),Tonteri (4)
Etelä-Karjala,(name),3,2,1,3,(name) (3),Torstikki (1); Könelin (1); Lemmon (1)
Etelä-Karjala,(proper noun),3,2,1,3,(proper noun) (3),Olkkase (1); Olkkala (1); Suntelj (1)
Etelä-Karjala,Elvira,3,1,1,1,Elvira (3),Elvira (3)
Etelä-Karjala,Hani,3,1,1,1,Hani (3),Hani (3)
Etelä-Karjala,Hemerik,3,1,1,1,Hemerik (3),Hemerik (3)
Etelä-Karjala,Jyrki,3,3,1,1,Jyrki (3),Jyrki (3)
Etelä-Karjala,Kopsa,3,1,1,1,Kopsa (3),Kopsa (3)
Etelä-Karjala,Liena,3,2,1,1,Liena (3),Liena (3)
Etelä-Karjala,Luukka,3,1,1,1,Luukka (3),Luukka (3)
Etelä-Karjala,Markku,3,1,1,1,Markku (3),Markku (3)
Etelä-Karjala,Nalli,3,3,1,1,Nalli (3),Nalli (3)
Etelä-Karjala,Nutu,3,1,1,1,Nutu (3),Nutu (3)
Etelä-Karjala,Nuutti,3,3,1,1,Nuutti (3),Nuutti (3)
Etelä-Karjala,Perola,3,3,1,2,Perola (3),Perola (2); Perolaa (1)
Etelä-Karjala,Riitta,3,2,1,1,Riitta (3),Riitta (3)
Etelä-Karjala,Sohvi,3,1,1,1,Sohvi (3),Sohvi (3)
Etelä-Karjala,Sorola,3,3,1,1,Sorola (3),Sorola (3)
Etelä-Karjala,Tarkkala,3,1,1,1,Tarkkala (3),Tarkkala (3)
Etelä-Karjala,Tuutti,3,1,1,2,Tuutti (3),Tuutti (2); Tuutti+n (1)
Etelä-Karjala,Väinö,3,2,1,1,Väinö (3),Väinö (3)
Etelä-Karjala,nimetön,3,3,1,1,nimetön (3),nimetön (3)
Etelä-Karjala,(proper name),2,2,1,2,(proper name) (2),Kyllöse-n-pä (1); sipakko (1)
Etelä-Karjala,Heveri,2,1,1,1,Heveri (2),Heveri (2)
Etelä-Karjala,Hilpo,2,1,1,1,Hilpo (2),Hilpo (2)
Etelä-Karjala,Huikkola,2,1,1,1,Huikkola (2),Huikkola (2)
Etelä-Karjala,Ierika,2,1,1,2,Ierika (2),Ierika-n (1); Ierika (1)
Etelä-Karjala,Ierikka,2,2,1,1,Ierikka (2),Ierikka (2)
Etelä-Karjala,Jaska (proper noun),2,1,1,1,Jaska (proper noun) (2),Jaska (2)
Etelä-Karjala,Jevo (proper noun),2,1,1,1,Jevo (proper noun) (2),Jevo (2)
Etelä-Karjala,Junu,2,1,1,1,Junu (2),Junu (2)
Etelä-Karjala,Jurkka,2,1,1,2,Jurkka (2),jurkalle (1); jurkka (1)
Etelä-Karjala,Jussila,2,1,1,1,Jussila (2),Juskelainen (2)
Etelä-Karjala,Juuttas,2,1,1,1,Juuttas (2),Juuttas (2)
Etelä-Karjala,Kaija,2,2,1,1,Kaija (2),Kaija (2)
Etelä-Karjala,Killi,2,2,1,1,Killi (2),Killi (2)
Etelä-Karjala,Kilpiä,2,1,1,1,Kilpiä (2),Kilpiä (2)
Etelä-Karjala,Kirsti,2,2,1,1,Kirsti (2),Kirsti (2)
Etelä-Karjala,Korhonen,2,2,1,2,Korhonen (2),korhosen (1); Korjonen (1)
Etelä-Karjala,Kuisma,2,1,1,1,Kuisma (2),Kuisma (2)
Etelä-Karjala,Kultaralli,2,1,1,2,Kultaralli (2),Kultaralliin (ill.) (1); Kultarallista (elat.) (1)
Etelä-Karjala,Kuntsi,2,1,1,1,Kuntsi (2),Kuntsi (2)
Etelä-Karjala,Laukko,2,1,1,1,Laukko (2),Laukko (2)
Etelä-Karjala,Lekkermanni,2,1,1,2,Lekkermanni (2),Lekkermanniin (ill.) (1); Lekkermannista (elat.) (1)
Etelä-Karjala,Liivo,2,1,1,1,Liivo (2),Liuvu (2)
Etelä-Karjala,Lopana (proper noun),2,1,1,1,Lopana (proper noun) (2),Lopana (2)
Etelä-Karjala,Läärelä,2,1,1,1,Läärelä (2),Läärelä (2)
Etelä-Karjala,Mantel,2,1,1,1,Mantel (2),Mantel (2)
Etelä-Karjala,Manteri,2,1,1,2,Manteri (2),Manter (1); Manteri (1)
Etelä-Karjala,Marja,2,1,1,1,Marja (2),Marja (2)
Etelä-Karjala,Merola,2,1,1,1,Merola (2),Merola (2)
Etelä-Karjala,Miina,2,2,1,2,Miina (2),miina (1); Miina (1)
Etelä-Karjala,Minja,2,1,1,1,Minja (2),Minja (2)
Etelä-Karjala,Mittu,2,1,1,1,Mittu (2),Mittu (2)
Etelä-Karjala,Murkeri,2,1,1,1,Murkeri (2),Murkeri (2)
Etelä-Karjala,Nikolai,2,1,1,1,Nikolai (2),Nikolai (2)
Etelä-Karjala,Nuuri,2,1,1,1,Nuuri (2),nuuri (2)
Etelä-Karjala,Paavali,2,2,1,1,Paavali (2),Paavali (2)
Etelä-Karjala,Paavo,2,1,1,1,Paavo (2),Paavo (2)
Etelä-Karjala,Piippa,2,1,1,1,Piippa (2),Piippa (2)
Etelä-Karjala,Piri,2,2,1,1,Piri (2),Piri (2)
Etelä-Karjala,Sasu,2,1,1,1,Sasu (2),Sasu (2)
Etelä-Karjala,Sparre,2,1,1,1,Sparre (2),Sparre (2)
Etelä-Karjala,Tanna,2,1,1,1,Tanna (2),Tanna (2)
Etelä-Karjala,Tolli,2,1,1,1,Tolli (2),Tolli (2)
Etelä-Karjala,Torajoki,2,1,1,1,Torajoki (2),Torajoki (2)
Etelä-Karjala,Toutka,2,1,1,1,Toutka (2),Toutka (2)
Etelä-Karjala,Vilka,2,1,1,1,Vilka (2),Vilka (2)
Etelä-Karjala,maanantai,2,2,1,1,maanantai (2),maanantai (2)
Etelä-Karjala,tuuvi,2,2,1,1,tuuvi (2),tuuvi (2)
Etelä-Karjala,Aapeli,1,1,1,1,Aapeli (1),Aapeli (1)
Etelä-Karjala,Aapro,1,1,1,1,Aapro (1),Aapro (1)
Etelä-Karjala,Agaska,1,1,1,1,Agaska (1),Agaska (1)
Etelä-Karjala,Akeli,1,1,1,1,Akeli (1),Akel (1)
Etelä-Karjala,Aljaka (proper noun),1,1,1,1,Aljaka (proper noun) (1),Aljaka (nom) (1)
Etelä-Karjala,Aljokaal (proper noun),1,1,1,1,Aljokaal (proper noun) (1),Aljokaal (nom) (1)
Etelä-Karjala,Annika,1,1,1,1,Annika (1),Annika (1)
Etelä-Karjala,Annikka,1,1,1,1,Annikka (1),Annikka (1)
Etelä-Karjala,Annikki,1,1,1,1,Annikki (1),Annikki (1)
Etelä-Karjala,Anttala,1,1,1,1,Anttala (1),Anttala (1)
Etelä-Karjala,Apron,1,1,1,1,Apron (1),Apron (1)
Etelä-Karjala,Araj,1,1,1,1,Araj (1),Araj (1)
Etelä-Karjala,Beata,1,1,1,1,Beata (1),Beata (1)
Etelä-Karjala,Earhu,1,1,1,1,Earhu (1),earhu (1)
Etelä-Karjala,Eeli/eeri (edge),1,1,1,1,Eeli/eeri (edge) (1),eeli/eeli (1)
Etelä-Karjala,Eemil,1,1,1,1,Eemil (1),Eemil (1)
Etelä-Karjala,Eeron,1,1,1,1,Eeron (1),Eero-n (1)
Etelä-Karjala,Eija,1,1,1,1,Eija (1),Eijan (1)
Etelä-Karjala,Ellen,1,1,1,1,Ellen (1),Ellen (1)
Etelä-Karjala,Elviira,1,1,1,1,Elviira (1),Elviira (1)
Etelä-Karjala,Erkki,1,1,1,1,Erkki (1),Erkki (1)
Etelä-Karjala,Haiko,1,1,1,1,Haiko (1),Haiko (1)
Etelä-Karjala,Haili+mänty,1,1,1,1,Haili+mänty (1),Haili+monto (1)
Etelä-Karjala,Hallila,1,1,1,1,Hallila (1),Hallila (1)
Etelä-Karjala,Hanikkala,1,1,1,1,Hanikkala (1),Hanikkala (1)
Etelä-Karjala,Hartsuana,1,1,1,1,Hartsuana (1),Hartsuana (1)
Etelä-Karjala,Hekki (proper noun),1,1,1,1,Hekki (proper noun) (1),hekki (vocative) (1)
Etelä-Karjala,Helena,1,1,1,1,Helena (1),Helena (1)
Etelä-Karjala,Helvi,1,1,1,1,Helvi (1),Helvi (1)
Etelä-Karjala,Herpo,1,1,1,1,Herpo (1),Herpo (1)
Etelä-Karjala,Hertta&lehmä,1,1,1,1,Hertta&lehmä (1),Hertta&lehmä (1)
Etelä-Karjala,Hilma,1,1,1,1,Hilma (1),Hilma (1)
Etelä-Karjala,Huuhti,1,1,1,1,Huuhti (1),Huuhin (1)
Etelä-Karjala,Hännikkäinen,1,1,1,1,Hännikkäinen (1),hännikäinen (1)
Etelä-Karjala,Ierika-lla,1,1,1,1,Ierika-lla (1),Ierika-lla (1)
Etelä-Karjala,Ihe,1,1,1,1,Ihe (1),Ihe (1)
Etelä-Karjala,Iho,1,1,1,1,Iho (1),Iho (1)
Etelä-Karjala,Iitam,1,1,1,1,Iitam (1),Iitam (1)
Etelä-Karjala,Ilmarinen,1,1,1,1,Ilmarinen (1),Ilmarinen (1)
Etelä-Karjala,Immeri,1,1,1,1,Immeri (1),Immeri (1)
Etelä-Karjala,Ino,1,1,1,1,Ino (1),Ino (1)
Etelä-Karjala,Iro,1,1,1,1,Iro (1),iro (1)
Etelä-Karjala,Jerikka,1,1,1,1,Jerikka (1),Ierikka (1)
Etelä-Karjala,Josva,1,1,1,1,Josva (1),Josva (1)
Etelä-Karjala,Juho,1,1,1,1,Juho (1),Juho (1)
Etelä-Karjala,Jässi,1,1,1,1,Jässi (1),Jässi (1)
Etelä-Karjala,Kalervikko,1,1,1,1,Kalervikko (1),Kalervikko (1)
Etelä-Karjala,Kalervoinen,1,1,1,1,Kalervoinen (1),Kalervoinen (1)
Etelä-Karjala,Kalevala,1,1,1,1,Kalevala (1),Kalevala (1)
Etelä-Karjala,Kalkkainen,1,1,1,1,Kalkkainen (1),Kalkkainen (1)
Etelä-Karjala,Kampi,1,1,1,1,Kampi (1),kampiin (1)
Etelä-Karjala,Kapia,1,1,1,1,Kapia (1),kapiat (1)
Etelä-Karjala,Kappel,1,1,1,1,Kappel (1),Kappel (1)
Etelä-Karjala,Karttu,1,1,1,1,Karttu (1),Karttu (1)
Etelä-Karjala,Kautsi,1,1,1,1,Kautsi (1),Kautsi (1)
Etelä-Karjala,Kerttu,1,1,1,1,Kerttu (1),kertto (1)
Etelä-Karjala,Kiira,1,1,1,1,Kiira (1),Kiira (1)
Etelä-Karjala,Killi (proper noun),1,1,1,1,Killi (proper noun) (1),killi (1)
Etelä-Karjala,Kimmeri,1,1,1,1,Kimmeri (1),Kimmeri (1)
Etelä-Karjala,Kinnunen,1,1,1,1,Kinnunen (1),Kinnunen (1)
Etelä-Karjala,Kippel,1,1,1,1,Kippel (1),Kippel (1)
Etelä-Karjala,Kirjo,1,1,1,1,Kirjo (1),Kirjo (1)
Etelä-Karjala,Knuutteli,1,1,1,1,Knuutteli (1),Kyntteli (1)
Etelä-Karjala,Kontsa,1,1,1,1,Kontsa (1),Kontsa (1)
Etelä-Karjala,Kotro,1,1,1,1,Kotro (1),Kotro (1)
Etelä-Karjala,Kristiina,1,1,1,1,Kristiina (1),Ristiina (1)
Etelä-Karjala,Kuisma & paise,1,1,1,1,Kuisma & paise (1),Kuisma & paise (1)
Etelä-Karjala,Kuoppala,1,1,1,1,Kuoppala (1),kuoppalan (1)
Etelä-Karjala,Kurri,1,1,1,1,Kurri (1),Kurri+n (1)
Etelä-Karjala,Kustaa,1,1,1,1,Kustaa (1),Kustaa (1)
Etelä-Karjala,Kusti,1,1,1,1,Kusti (1),Kusti (1)
Etelä-Karjala,Kuukkola,1,1,1,1,Kuukkola (1),Kuukkola (1)
Etelä-Karjala,Kuusa,1,1,1,1,Kuusa (1),Kuusa (1)
Etelä-Karjala,Kynkkä,1,1,1,1,Kynkkä (1),Kynkkä (1)
Etelä-Karjala,Kyykä,1,1,1,1,Kyykä (1),kyykä (1)
Etelä-Karjala,Kyyrä,1,1,1,1,Kyyrä (1),Kyyrä (1)
Etelä-Karjala,Kyyttö,1,1,1,1,Kyyttö (1),Kyyttö (1)
Etelä-Karjala,Laaman,1,1,1,1,Laaman (1),Laamas (1)
Etelä-Karjala,Laamo,1,1,1,1,Laamo (1),Laamose (1)
Etelä-Karjala,Laamonen,1,1,1,1,Laamonen (1),Laamose- (1)
Etelä-Karjala,Lalli,1,1,1,1,Lalli (1),Lalli (1)
Etelä-Karjala,Lankinen,1,1,1,1,Lankinen (1),Lankinen (1)
Etelä-Karjala,Lari,1,1,1,1,Lari (1),Lari (1)
Etelä-Karjala,Laskiainen,1,1,1,1,Laskiainen (1),Laskiainen (1)
Etelä-Karjala,Liina,1,1,1,1,Liina (1),liena (1)
Etelä-Karjala,Liiru,1,1,1,1,Liiru (1),Liiruun (ill.) (1)
Etelä-Karjala,Lilli,1,1,1,1,Lilli (1),Lilli (1)
Etelä-Karjala,Litma,1,1,1,1,Litma (1),Litma+see (1)
Etelä-Karjala,Lopeinen,1,1,1,1,Lopeinen (1),Lopeise-n (1)
Etelä-Karjala,Lutini,1,1,1,1,Lutini (1),Lutini (1)
Etelä-Karjala,Madigan,1,1,1,1,Madigan (1),Madigan (1)
Etelä-Karjala,Maikki,1,1,1,1,Maikki (1),Maikki (1)
Etelä-Karjala,Mairikki,1,1,1,1,Mairikki (1),Mairikki (1)
Etelä-Karjala,Maksimiinus,1,1,1,1,Maksimiinus (1),Maksimiinus (1)
Etelä-Karjala,Manni,1,1,1,1,Manni (1),Manni (1)
Etelä-Karjala,Marianna,1,1,1,1,Marianna (1),Marianna (1)
Etelä-Karjala,Marila,1,1,1,1,Marila (1),Marila (1)
Etelä-Karjala,Marilla,1,1,1,1,Marilla (1),Marilassa (1)
Etelä-Karjala,Marjaana,1,1,1,1,Marjaana (1),Marjaana (1)
Etelä-Karjala,Marketta,1,1,1,1,Marketta (1),Marketta (1)
Etelä-Karjala,Markkula,1,1,1,1,Markkula (1),markkula (1)
Etelä-Karjala,Markus,1,1,1,1,Markus (1),Markus (1)
Etelä-Karjala,Marva,1,1,1,1,Marva (1),marva (1)
Etelä-Karjala,Matikainen,1,1,1,1,Matikainen (1),Matikainen (1)
Etelä-Karjala,Mauri,1,1,1,1,Mauri (1),Mauri (1)
Etelä-Karjala,Mikkonen,1,1,1,1,Mikkonen (1),Mikkonen (1)
Etelä-Karjala,Mirjam,1,1,1,1,Mirjam (1),Mirjam (1)
Etelä-Karjala,Molotia,1,1,1,1,Molotia (1),Molotia (1)
Etelä-Karjala,Mononen,1,1,1,1,Mononen (1),monoses (1)
Etelä-Karjala,Mörri,1,1,1,1,Mörri (1),Mörri (1)
Etelä-Karjala,Naasti,1,1,1,1,Naasti (1),naasti (1)
Etelä-Karjala,Nasti,1,1,1,1,Nasti (1),Nasti (1)
Etelä-Karjala,Nilli,1,1,1,1,Nilli (1),Nilli (1)
Etelä-Karjala,Noro (toponym),1,1,1,1,Noro (toponym) (1),Noro (1)
Etelä-Karjala,Nurska,1,1,1,1,Nurska (1),Nurska (1)
Etelä-Karjala,Nuuv,1,1,1,1,Nuuv (1),Nuuv (1)
Etelä-Karjala,Nyyrikki,1,1,1,1,Nyyrikki (1),Nyyrikki (1)
Etelä-Karjala,Olli,1,1,1,1,Olli (1),Olli (1)
Etelä-Karjala,Ollila,1,1,1,1,Ollila (1),Ollila (1)
Etelä-Karjala,Orsla,1,1,1,1,Orsla (1),Orsla+hen (1)
Etelä-Karjala,Paakari,1,1,1,1,Paakari (1),Paakari (1)
Etelä-Karjala,Paaval,1,1,1,1,Paaval (1),Puaval (1)
Etelä-Karjala,Paikko,1,1,1,1,Paikko (1),Paikko (1)
Etelä-Karjala,Parola,1,1,1,1,Parola (1),Parola (1)
Etelä-Karjala,Patakrela,1,1,1,1,Patakrela (1),Patakrela (1)
Etelä-Karjala,Pauli,1,1,1,1,Pauli (1),Paulin (1)
Etelä-Karjala,Peeron,1,1,1,1,Peeron (1),Peero-n (1)
Etelä-Karjala,Peltonen,1,1,1,1,Peltonen (1),Pelmonen (1)
Etelä-Karjala,Pennanen,1,1,1,1,Pennanen (1),Pennanen (1)
Etelä-Karjala,Penne,1,1,1,1,Penne (1),Penne (1)
Etelä-Karjala,Perolan,1,1,1,1,Perolan (1),perolas (1)
Etelä-Karjala,Perttilä*,1,1,1,1,Perttilä* (1),Pärttyli (1)
Etelä-Karjala,Pietula,1,1,1,1,Pietula (1),Pietula (1)
Etelä-Karjala,Pija,1,1,1,1,Pija (1),Pijan (1)
Etelä-Karjala,Pirillä,1,1,1,1,Pirillä (1),Pirilässä (1)
Etelä-Karjala,Pirjo,1,1,1,1,Pirjo (1),Pirjo (1)
Etelä-Karjala,Pirkko,1,1,1,1,Pirkko (1),Pirkka (1)
Etelä-Karjala,Pommeri,1,1,1,1,Pommeri (1),Pommeri (1)
Etelä-Karjala,Pontto,1,1,1,1,Pontto (1),Pontto (1)
Etelä-Karjala,Potri,1,1,1,1,Potri (1),Potri (1)
Etelä-Karjala,Puavola,1,1,1,1,Puavola (1),Puavola (1)
Etelä-Karjala,Punikki,1,1,1,1,Punikki (1),Punikki (1)
Etelä-Karjala,Punnus (toponym),1,1,1,1,Punnus (toponym) (1),Punnunen (1)
Etelä-Karjala,Puntus,1,1,1,1,Puntus (1),Puntus (1)
Etelä-Karjala,Puola,1,1,1,1,Puola (1),Puola (1)
Etelä-Karjala,Purlakka,1,1,1,1,Purlakka (1),Purlakka (1)
Etelä-Karjala,Putti,1,1,1,1,Putti (1),Putti (1)
Etelä-Karjala,Pöllä,1,1,1,1,Pöllä (1),Pöllä+see (1)
Etelä-Karjala,Rontee,1,1,1,1,Rontee (1),Rontee (1)
Etelä-Karjala,Rutunen,1,1,1,1,Rutunen (1),Rutunen (1)
Etelä-Karjala,Ruusa,1,1,1,1,Ruusa (1),Ruusa (1)
Etelä-Karjala,Räty,1,1,1,1,Räty (1),Räty (1)
Etelä-Karjala,Rääveli,1,1,1,1,Rääveli (1),Rääveli (1)
Etelä-Karjala,Saima,1,1,1,1,Saima (1),Saima (1)
Etelä-Karjala,Sakari,1,1,1,1,Sakari (1),Sakari (1)
Etelä-Karjala,Sarko,1,1,1,1,Sarko (1),Sarko (1)
Etelä-Karjala,Selma,1,1,1,1,Selma (1),Selma (1)
Etelä-Karjala,Siimana,1,1,1,1,Siimana (1),Siimana (1)
Etelä-Karjala,Siitari,1,1,1,1,Siitari (1),siitarin (1)
Etelä-Karjala,Silja,1,1,1,1,Silja (1),Silja (1)
Etelä-Karjala,Simo-Juuso,1,1,1,1,Simo-Juuso (1),Simo-Juosu (1)
Etelä-Karjala,Simola,1,1,1,1,Simola (1),Simola (1)
Etelä-Karjala,Simosen herra,1,1,1,1,Simosen herra (1),simoiserra (1)
Etelä-Karjala,Sippa,1,1,1,1,Sippa (1),Sippa (1)
Etelä-Karjala,Sipro-Jussi,1,1,1,1,Sipro-Jussi (1),Sipro-Jussi (1)
Etelä-Karjala,Sivi,1,1,1,1,Sivi (1),Sivi-llä (1)
Etelä-Karjala,Sonni,1,1,1,1,Sonni (1),sonnilla (1)
Etelä-Karjala,Souva,1,1,1,1,Souva (1),Souva (1)
Etelä-Karjala,Stut,1,1,1,1,Stut (1),Stut (1)
Etelä-Karjala,Suella,1,1,1,1,Suella (1),Suella (1)
Etelä-Karjala,Suikki (toponym),1,1,1,1,Suikki (toponym) (1),Suikki (1)
Etelä-Karjala,Sunilla,1,1,1,1,Sunilla (1),Sunilassa (1)
Etelä-Karjala,Suntel,1,1,1,1,Suntel (1),Suntel (1)
Etelä-Karjala,Sunteri,1,1,1,1,Sunteri (1),Sunterj (1)
Etelä-Karjala,Säiniö,1,1,1,1,Säiniö (1),Säiniö (1)
Etelä-Karjala,Taali,1,1,1,1,Taali (1),taalikalla (1)
Etelä-Karjala,Taalikalla-kin,1,1,1,1,Taalikalla-kin (1),taalikalla-kii (1)
Etelä-Karjala,Taalikkainen,1,1,1,1,Taalikkainen (1),Taalikkainen (1)
Etelä-Karjala,Taanikki,1,1,1,1,Taanikki (1),tannikki (1)
Etelä-Karjala,Taho,1,1,1,1,Taho (1),taho (1)
Etelä-Karjala,Talja,1,1,1,1,Talja (1),Talja (1)
Etelä-Karjala,Tanikka,1,1,1,1,Tanikka (1),Tanikka (1)
Etelä-Karjala,Tannikki,1,1,1,1,Tannikki (1),Tannikki (1)
Etelä-Karjala,Tapio,1,1,1,1,Tapio (1),Tapio (1)
Etelä-Karjala,Tatjana,1,1,1,1,Tatjana (1),tatjana (1)
Etelä-Karjala,Tauno,1,1,1,1,Tauno (1),Tauno (1)
Etelä-Karjala,Teijula,1,1,1,1,Teijula (1),teijula (1)
Etelä-Karjala,Tiitula-meteli,1,1,1,1,Tiitula-meteli (1),tiitula-metteli (1)
Etelä-Karjala,Tilli,1,1,1,1,Tilli (1),Tillin (1)
Etelä-Karjala,Timo,1,1,1,1,Timo (1),Timo (1)
Etelä-Karjala,Timpermanni,1,1,1,1,Timpermanni (1),Timpermanni (1)
Etelä-Karjala,Tinno,1,1,1,1,Tinno (1),Tinno (1)
Etelä-Karjala,Tommi,1,1,1,1,Tommi (1),Tommi (1)
Etelä-Karjala,Tontka,1,1,1,1,Tontka (1),Tontka (1)
Etelä-Karjala,Torstilla,1,1,1,1,Torstilla (1),Torstilla (1)
Etelä-Karjala,Totka,1,1,1,1,Totka (1),Totka (1)
Etelä-Karjala,Tvattila,1,1,1,1,Tvattila (1),Tvattila (1)
Etelä-Karjala,Ulla,1,1,1,1,Ulla (1),Ullaa (1)
Etelä-Karjala,Untamoinen,1,1,1,1,Untamoinen (1),Untamoinen (1)
Etelä-Karjala,Untamolta,1,1,1,1,Untamolta (1),untamolt (1)
Etelä-Karjala,Unto,1,1,1,1,Unto (1),Unto (1)
Etelä-Karjala,Urpo,1,1,1,1,Urpo (1),Urpo-ki (1)
Etelä-Karjala,Uuvekirko,1,1,1,1,Uuvekirko (1),Uuvekirko (1)
Etelä-Karjala,Valli,1,1,1,1,Valli (1),Valli (1)
Etelä-Karjala,Vappo,1,1,1,1,Vappo (1),Wappo (1)
Etelä-Karjala,Varpuli,1,1,1,1,Varpuli (1),Varpuli (1)
Etelä-Karjala,Varro (prop.),1,1,1,1,Varro (prop.) (1),varroo (1)
Etelä-Karjala,Vemmel,1,1,1,1,Vemmel (1),Vemmel (1)
Etelä-Karjala,Venni,1,1,1,1,Venni (1),Venni (1)
Etelä-Karjala,Vestel,1,1,1,1,Vestel (1),Vestel (1)
Etelä-Karjala,Vilhelmi,1,1,1,1,Vilhelmi (1),Vilhelmi (1)
Etelä-Karjala,Vilho,1,1,1,1,Vilho (1),Wilka (1)
Etelä-Karjala,Viljo,1,1,1,1,Viljo (1),Viljo (1)
Etelä-Karjala,Virkku,1,1,1,1,Virkku (1),Virkku (1)
Etelä-Karjala,Virro (prop.),1,1,1,1,Virro (prop.) (1),virroo (1)
Etelä-Karjala,Ytikko,1,1,1,1,Ytikko (1),Ytikko (1)
Etelä-Karjala,Yyrilä,1,1,1,1,Yyrilä (1),Yyrylä (1)
Etelä-Karjala,Zitting,1,1,1,1,Zitting (1),Zitting (1)
Etelä-Karjala,alli,1,1,1,1,alli (1),alli (1)
Etelä-Karjala,anikka,1,1,1,1,anikka (1),anikka(?) (1)
Etelä-Karjala,herta,1,1,1,1,herta (1),herta (1)
Etelä-Karjala,hiiri / Iiri,1,1,1,1,hiiri / Iiri (1),hiiren / iirin (1)
Etelä-Karjala,huutaa (if verb) / huusi (if name),1,1,1,1,huutaa (if verb) / huusi (if name) (1),huusi (1)
Etelä-Karjala,ierikkäisten,1,1,1,1,ierikkäisten (1),ierikkäisten (1)
Etelä-Karjala,junkeri & Julla,1,1,1,1,junkeri & Julla (1),junkeri & Julla (1)
Etelä-Karjala,killi,1,1,1,1,killi (1),killi (1)
Etelä-Karjala,koti/Kotti,1,1,1,1,koti/Kotti (1),Kotti (1)
Etelä-Karjala,kuk,1,1,1,1,kuk (1),kuk (1)
Etelä-Karjala,kuurukuuru,1,1,1,1,kuurukuuru (1),kuurukuuru (1)
Etelä-Karjala,liila,1,1,1,1,liila (1),liila (1)
Etelä-Karjala,maariankukka (hypothetical),1,1,1,1,maariankukka (hypothetical) (1),maariainen (1)
Etelä-Karjala,maurinkukka (hypothetical),1,1,1,1,maurinkukka (hypothetical) (1),mauriainen (1)
Etelä-Karjala,muurikkinen,1,1,1,1,muurikkinen (1),muurikkinen (1)
Etelä-Karjala,nimi,1,1,1,1,nimi (1),nimi (1)
Etelä-Karjala,nimismies,1,1,1,1,nimismies (1),nimismies (1)
Etelä-Karjala,nukkua & matti,1,1,1,1,nukkua & matti (1),nukku-matin (1)
Etelä-Karjala,nukkumatti,1,1,1,1,nukkumatti (1),nukku-mati (1)
Etelä-Karjala,piippanunna,1,1,1,1,piippanunna (1),piippanunna (1)
Etelä-Karjala,pikkurilli,1,1,1,1,pikkurilli (1),pikkurilli (1)
Etelä-Karjala,savi & Jussi,1,1,1,1,savi & Jussi (1),savi & Jussi (1)
Etelä-Karjala,seppä-Tahvo,1,1,1,1,seppä-Tahvo (1),sepä-Tahvo (1)
Etelä-Karjala,talikainen,1,1,1,1,talikainen (1),talikainen (1)
Etelä-Karjala,talla,1,1,1,1,talla (1),talla (1)
Etelä-Karjala,tanssia,1,1,1,1,tanssia (1),tanelii (verb) (1)
Etelä-Karjala,tippuri (dialectal),1,1,1,1,tippuri (dialectal) (1),pipetti (1)
Etelä-Karjala,tuuvi (hypothetical),1,1,1,1,tuuvi (hypothetical) (1),tuuvi (gen. tuuvin) (1)
Etelä-Karjala,Örö,1,1,1,1,Örö (1),Örö (1)
Etelä-Pohjanmaa,God / Jumala / Jumal,94,72,7,13,herra (62); Jumala (13); Herra (11); jumala (4); luoja (2); Jumalan (1); Luojat (1),herra (59); Herra (11); Jumala (10); jumala (4); luoja (2); Jumalallen (1); Jumala+n (1); Luoja+t (1)
Etelä-Pohjanmaa,Matthew / Matti,72,58,6,8,Matti (64); matti (3); Matin (2); Mattiin (1); Matista (1); Matille (1),Matti (61); matti (4); Matti+n (2); mattiin (1); matista (1); matille (1); matin (1); Matin (1)
Etelä-Pohjanmaa,Mary / Maria / Maarja / Mari,71,60,7,13,Maria (32); Maija (31); Maaria (3); marja (2); Maariaan (1); Mariasta (1); Marja (1),Maija (28); Maria (24); Maaria (6); Marja (2); Maijja (2); marja (2); marija (1); maariaan (1)
Etelä-Pohjanmaa,Jesus / Christ,52,39,3,10,Jeesus (34); Kristus (11); Jesus (7),Jeesus (25); Jesus (11); Kristus (6); Ristus (2); jesux (2); christux (2); Jeessus (1); Iesus (1)
Etelä-Pohjanmaa,John / Jaan / Jussi / Hans,41,38,4,3,Jussi (38); Juhana (1); Johannes (1); Juha (1),Jussi (39); Johannekselta (1); Juha (1)
Etelä-Pohjanmaa,Henry / Heikki,35,26,3,3,Heikki (31); Henrikki (3); Heikin (1),Heikki (31); Henrikki (3); heikil (1)
Etelä-Pohjanmaa,Peter / Pietari / Peeter,32,26,4,8,Pietari (19); Pekka (11); Petter (1); Petteri (1),Pietari (15); Pekka (8); Piatari (3); Petter (2); Petteri (1); Pietu (1); Peka (1); Pekka (+ -lla) (1)
Etelä-Pohjanmaa,Andrew / Antti,21,19,1,4,Antti (21),Antti (18); Antis (1); antin (1); antti (1)
